timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1697739090029,2805,Login-1,200,,Spike Test  4-21,text,true,,28096,440,28,54,http://localhost:8081/,2802,0,0
1697739090380,2676,Create Post,200,,Spike Test  4-25,text,true,,561,581,29,55,http://localhost:8081/api/post/auth/creator,2676,0,0
1697739090369,2670,Create Post,200,,Load Test  2-35,text,true,,561,581,15,55,http://localhost:8081/api/post/auth/creator,2669,0,0
1697739089679,3474,Register Random User,200,,Load Test  2-30,text,true,,395,686,15,55,http://localhost:8081/api/users/,3474,0,3
1697739090407,2809,Create Post,200,,Stress Test  1-50,text,true,,561,581,3,56,http://localhost:8081/api/post/auth/creator,2809,0,0
1697739089995,3266,Register Random User,200,,Spike Test  4-11,text,true,,395,686,30,57,http://localhost:8081/api/users/,3266,0,2
1697739090407,2949,Create Post,200,,Load Test  2-37,text,true,,561,581,16,56,http://localhost:8081/api/post/auth/creator,2949,0,0
1697739090418,2992,Create Post,200,,Endurance Test  3-30,text,true,,561,581,8,56,http://localhost:8081/api/post/auth/creator,2991,0,0
1697739090439,2983,Create Post,200,,Load Test  2-34,text,true,,561,581,16,56,http://localhost:8081/api/post/auth/creator,2983,0,0
1697739092509,916,Create Post,200,,Load Test  2-32,text,true,,561,581,16,56,http://localhost:8081/api/post/auth/creator,916,0,0
1697739089712,3736,Register Random User,200,,Spike Test  4-12,text,true,,395,686,29,56,http://localhost:8081/api/users/,3736,0,3
1697739090227,3462,Register Random User,200,,Spike Test  4-10,text,true,,395,686,28,55,http://localhost:8081/api/users/,3462,0,5
1697739090099,3590,Register Random User,200,,Endurance Test  3-25,text,true,,395,686,8,55,http://localhost:8081/api/users/,3590,0,3
1697739090260,3534,Register Random User,200,,Load Test  2-29,text,true,,395,686,16,54,http://localhost:8081/api/users/,3533,0,2
1697739090568,3290,Register Random User,200,,Spike Test  4-9,text,true,,395,686,27,54,http://localhost:8081/api/users/,3290,0,3
1697739090668,3397,Create Post,200,,Spike Test  4-23,text,true,,561,581,26,55,http://localhost:8081/api/post/auth/creator,3396,0,0
1697739090990,3084,Register Random User,200,,Load Test  2-28,text,true,,395,686,17,54,http://localhost:8081/api/users/,3084,0,1
1697739090866,3401,Create Post,200,,Spike Test  4-30,text,true,,561,581,25,54,http://localhost:8081/api/post/auth/creator,3400,0,0
1697739090851,3417,Create Post,200,,Spike Test  4-29,text,true,,561,581,25,54,http://localhost:8081/api/post/auth/creator,3416,0,0
1697739090861,3440,Create Post,200,,Spike Test  4-27,text,true,,561,581,23,52,http://localhost:8081/api/post/auth/creator,3440,0,0
1697739093423,969,Delete Post,200,,Load Test  2-34,,true,,303,611,17,51,http://localhost:8081/api/post/auth/manager?postId=4345,969,0,0
1697739091279,3315,Create Post,200,,Load Test  2-36,text,true,,561,581,17,51,http://localhost:8081/api/post/auth/creator,3314,0,0
1697739091267,3326,Create Post,200,,Spike Test  4-26,text,true,,561,581,22,51,http://localhost:8081/api/post/auth/creator,3326,0,0
1697739091125,3493,Register Random User,200,,Stress Test  1-48,text,true,,395,686,3,50,http://localhost:8081/api/users/,3492,0,2
1697739091291,3390,Create Post,200,,Load Test  2-38,text,true,,561,581,17,50,http://localhost:8081/api/post/auth/creator,3390,0,0
1697739091327,3425,Create Post,200,,Endurance Test  3-29,text,true,,561,581,9,52,http://localhost:8081/api/post/auth/creator,3425,0,0
1697739091214,3672,Register Random User,200,,Spike Test  4-7,text,true,,395,686,21,52,http://localhost:8081/api/users/,3671,0,2
1697739091348,3564,Register Random User,200,,Endurance Test  3-24,text,true,,395,686,9,51,http://localhost:8081/api/users/,3564,0,3
1697739091354,3670,Create Post,200,,Spike Test  4-24,text,true,,561,581,20,51,http://localhost:8081/api/post/auth/creator,3670,0,0
1697739091355,3822,Create Post,200,,Spike Test  4-28,text,true,,561,581,19,50,http://localhost:8081/api/post/auth/creator,3821,0,0
1697739091548,3678,Register Random User,200,,Spike Test  4-6,text,true,,395,686,18,49,http://localhost:8081/api/users/,3678,0,2
1697739091596,3692,Create Post,200,,Spike Test  4-22,text,true,,561,581,17,48,http://localhost:8081/api/post/auth/creator,3691,0,0
1697739091742,3613,Register Random User,200,,Load Test  2-27,text,true,,395,686,18,48,http://localhost:8081/api/users/,3612,0,6
1697739091747,3762,Create Post,200,,Load Test  2-40,text,true,,561,581,19,49,http://localhost:8081/api/post/auth/creator,3761,0,0
1697739091739,3798,Create Post,200,,Endurance Test  3-28,text,true,,561,581,10,49,http://localhost:8081/api/post/auth/creator,3798,0,0
1697739091880,3667,Register Random User,200,,Spike Test  4-5,text,true,,395,686,16,49,http://localhost:8081/api/users/,3667,0,2
1697739091777,3836,Create Post,200,,Load Test  2-39,text,true,,561,581,19,48,http://localhost:8081/api/post/auth/creator,3836,0,0
1697739092016,3811,Create Post,200,,Load Test  2-33,text,true,,561,581,19,48,http://localhost:8081/api/post/auth/creator,3811,0,0
1697739092101,3838,Create Post,200,,Endurance Test  3-27,text,true,,561,581,10,48,http://localhost:8081/api/post/auth/creator,3837,0,0
1697739092146,3941,Create Post,200,,Spike Test  4-20,text,true,,561,581,15,48,http://localhost:8081/api/post/auth/creator,3940,0,0
1697739092168,3950,Create Post,200,,Stress Test  1-49,text,true,,561,581,4,47,http://localhost:8081/api/post/auth/creator,3950,0,0
1697739092548,3645,Register Random User,200,,Spike Test  4-3,text,true,,395,686,14,47,http://localhost:8081/api/users/,3645,0,2
1697739092682,3552,Register Random User,200,,Endurance Test  3-23,text,true,,395,685,10,46,http://localhost:8081/api/users/,3552,0,2
1697739092439,3814,Create Post,200,,Spike Test  4-18,text,true,,561,581,13,47,http://localhost:8081/api/post/auth/creator,3813,0,0
1697739092497,3813,Create Post,200,,Spike Test  4-17,text,true,,561,581,12,46,http://localhost:8081/api/post/auth/creator,3812,0,0
1697739092881,3627,Register Random User,200,,Spike Test  4-2,text,true,,395,686,11,45,http://localhost:8081/api/users/,3627,0,1
1697739092834,3722,Create Post,200,,Spike Test  4-21,text,true,,561,581,10,44,http://localhost:8081/api/post/auth/creator,3722,0,0
1697739090881,5940,Register Random User,200,,Spike Test  4-8,text,true,,395,684,9,44,http://localhost:8081/api/users/,5940,0,2
1697739093217,3640,Register Random User,200,,Spike Test  4-1,text,true,,395,686,8,43,http://localhost:8081/api/users/,3640,0,2
1697739093143,3740,Delete Post,200,,Load Test  2-35,,true,,303,607,20,42,http://localhost:8081/api/post/auth/manager?postId=4339,3740,0,0
1697739093250,3661,Register Random User,200,,Load Test  2-25,text,true,,395,686,20,42,http://localhost:8081/api/users/,3661,0,17
1697739093216,3810,Delete Post,200,,Stress Test  1-50,,true,,303,607,4,43,http://localhost:8081/api/post/auth/manager?postId=4341,3810,0,0
1697739093357,3726,Delete Post,200,,Load Test  2-37,,true,,303,599,21,43,http://localhost:8081/api/post/auth/manager?postId=4342,3726,0,0
1697739093411,3734,Delete Post,200,,Endurance Test  3-30,,true,,303,603,11,43,http://localhost:8081/api/post/auth/manager?postId=4343,3734,0,0
1697739093428,3781,Delete Post,200,,Load Test  2-32,,true,,303,591,21,43,http://localhost:8081/api/post/auth/manager?postId=4344,3781,0,0
1697739094015,3318,Register Random User,200,,Endurance Test  3-22,text,true,,395,686,11,43,http://localhost:8081/api/users/,3318,0,2
1697739094433,3085,Register Random User,200,,Load Test  2-34,text,true,,395,686,21,43,http://localhost:8081/api/users/,3085,0,2
1697739094739,2947,Register Random User,200,,Load Test  2-23,text,true,,395,686,21,43,http://localhost:8081/api/users/,2947,0,2
1697739092214,5559,Register Random User,200,,Spike Test  4-4,text,true,,395,686,7,44,http://localhost:8081/api/users/,5559,0,1
1697739094595,3191,Delete Post,200,,Load Test  2-36,,true,,303,603,22,43,http://localhost:8081/api/post/auth/manager?postId=4350,3191,0,0
1697739094683,3229,Delete Post,200,,Load Test  2-38,,true,,303,611,22,43,http://localhost:8081/api/post/auth/manager?postId=4352,3229,0,0
1697739094754,3158,Delete Post,200,,Endurance Test  3-29,,true,,303,599,11,43,http://localhost:8081/api/post/auth/manager?postId=4353,3158,0,0
1697739095350,2603,Register Random User,200,,Endurance Test  3-21,text,true,,395,686,11,43,http://localhost:8081/api/users/,2603,0,1
1697739092022,5980,Create Post,200,,Spike Test  4-19,text,true,,561,581,6,43,http://localhost:8081/api/post/auth/creator,5979,0,0
1697739095511,2648,Delete Post,200,,Load Test  2-40,,true,,303,593,22,43,http://localhost:8081/api/post/auth/manager?postId=4357,2648,0,0
1697739095539,2700,Delete Post,200,,Endurance Test  3-28,,true,,303,607,12,43,http://localhost:8081/api/post/auth/manager?postId=4358,2700,0,0
1697739095491,2868,Register Random User,200,,Load Test  2-22,text,true,,395,686,22,44,http://localhost:8081/api/users/,2868,0,2
1697739092307,6258,Login,200,,Spike Test  4-14,text,true,,28508,1153,5,45,http://localhost:8081/,3309,0,0
1697739092307,3309,Login-0,302,,Spike Test  4-14,,true,,412,713,5,45,http://localhost:8081/authenticate,3309,0,0
1697739095617,2948,Login-1,200,,Spike Test  4-14,text,true,,28096,440,5,45,http://localhost:8081/,2945,0,0
1697739095616,2960,Delete Post,200,,Load Test  2-39,,true,,303,597,23,44,http://localhost:8081/api/post/auth/manager?postId=4359,2960,0,0
1697739092579,6198,Login,200,,Load Test  2-31,text,true,,28508,1193,23,44,http://localhost:8081/,3288,0,0
1697739092579,3288,Login-0,302,,Load Test  2-31,,true,,412,753,23,44,http://localhost:8081/authenticate,3288,0,0
1697739095868,2909,Login-1,200,,Load Test  2-31,text,true,,28096,440,23,44,http://localhost:8081/,2906,0,0
1697739092564,6216,Login,200,,Endurance Test  3-26,text,true,,28508,1161,12,44,http://localhost:8081/,3290,0,0
1697739092564,3290,Login-0,302,,Endurance Test  3-26,,true,,412,721,12,44,http://localhost:8081/authenticate,3290,0,0
